# SDSS-SOSS Airport Adaptation : nodes.txt
# 2014/04/11 07:30:00
# Airport: CLT
#
# Location (0,0) is at latitude: 35.214000, longitude 80.943139  in decimal degrees
#
#
# Nodes are in Node index order 
#
# X Coord 	Y Coord   	Node #	Name	Node Type	#From Links	#To Links
-334.128240	745.622828	0	A1	GATE_NODE	1	1
-475.447082	625.303984	1	A10	GATE_NODE	1	1
-530.692638	675.746459	2	A11	GATE_NODE	1	1
-524.218048	650.494890	3	A11A	GATE_NODE	1	1
-506.579944	626.824950	4	A12	GATE_NODE	1	1
-314.288722	641.704836	5	A2	GATE_NODE	1	1
-378.690972	743.193799	6	A3	GATE_NODE	1	1
-350.305172	642.617737	7	A4	GATE_NODE	1	1
-422.948481	739.549568	8	A5	GATE_NODE	1	1
-401.582829	644.443011	9	A6	GATE_NODE	1	1
-467.205989	736.817107	10	A7	GATE_NODE	1	1
-442.482871	631.075473	11	A8	GATE_NODE	1	1
-510.853047	735.604085	12	A9	GATE_NODE	1	1
-521.841129	700.965627	13	A9A	GATE_NODE	1	1
104.478028	-199.664802	14	AIR_CARGO-1	GATE_NODE	1	1
497.911833	-49.853471	15	AIR_CARGO-10	GATE_NODE	1	1
139.578739	-237.949600	16	AIR_CARGO-2	GATE_NODE	1	1
176.816020	-271.676453	17	AIR_CARGO-3	GATE_NODE	1	1
237.250319	-297.806319	18	AIR_CARGO-4	GATE_NODE	1	1
279.678057	-282.005292	19	AIR_CARGO-5	GATE_NODE	1	1
554.988393	-278.953974	20	AIR_CARGO-6	GATE_NODE	1	1
522.939960	-224.262651	21	AIR_CARGO-7	GATE_NODE	1	1
520.803481	-159.238631	22	AIR_CARGO-8	GATE_NODE	1	1
567.207547	-146.724563	23	AIR_CARGO-8s	RAMP_NODE	3	3
517.140876	-98.772456	24	AIR_CARGO-9	GATE_NODE	1	1
939.645689	347.732277	25	ANG1	RAMP_NODE	2	2
947.246071	248.074179	26	ANG10	RAMP_NODE	2	2
1030.862341	304.427308	27	ANG11	RAMP_NODE	2	2
1120.456827	309.910750	28	ANG12	RAMP_NODE	2	2
1126.435035	260.166780	29	ANG13	RAMP_NODE	2	2
1130.801003	210.741624	30	ANG15	RAMP_NODE	2	2
942.229191	298.306839	31	ANG2	RAMP_NODE	2	2
1170.865068	263.984656	32	ANG2s	RAMP_NODE	3	3
1039.383992	203.912075	33	ANG3	RAMP_NODE	2	2
1033.886449	254.344004	34	ANG4	RAMP_NODE	2	2
950.250155	197.821380	35	ANG5	RAMP_NODE	2	2
901.632295	244.112731	36	ANG6s	RAMP_NODE	3	3
897.711434	293.878581	37	ANG7s	RAMP_NODE	3	3
893.782863	344.148763	38	ANG8s	RAMP_NODE	3	3
934.378461	398.363681	39	ANG9	RAMP_NODE	2	2
896.878446	391.633134	40	ANG9s	RAMP_NODE	2	2
-219.669226	653.856043	41	B1	GATE_NODE	1	1
-143.363306	480.962904	42	B10	GATE_NODE	1	1
-264.842526	435.691857	43	B11	GATE_NODE	1	1
-153.435735	432.042982	44	B12	GATE_NODE	1	1
-257.211945	398.925600	45	B13	GATE_NODE	1	1
-157.403670	399.530944	46	B14	GATE_NODE	1	1
-226.384324	380.389814	47	B15	GATE_NODE	1	1
-188.536540	378.869662	48	B16	GATE_NODE	1	1
-119.250480	650.207867	49	B2	GATE_NODE	1	1
-226.384182	614.051650	50	B3	GATE_NODE	1	1
-131.459476	607.668818	51	B4	GATE_NODE	1	1
-236.761828	571.816551	52	B5	GATE_NODE	1	1
-137.869209	571.814430	53	B6	GATE_NODE	1	1
-241.645440	528.062057	54	B7	GATE_NODE	1	1
-139.395359	528.363680	55	B8	GATE_NODE	1	1
-256.601449	480.965490	56	B9	GATE_NODE	1	1
131.033181	496.762768	57	C10	GATE_NODE	1	1
23.289083	512.562224	58	C11	GATE_NODE	1	1
139.884653	468.808552	59	C12	GATE_NODE	1	1
17.184572	478.226991	60	C13	GATE_NODE	1	1
145.378653	434.777264	61	C14	GATE_NODE	1	1
32.140517	437.207065	62	C15	GATE_NODE	1	1
137.137577	408.645914	63	C16	GATE_NODE	1	1
45.875575	407.429665	64	C17	GATE_NODE	1	1
101.426344	392.237495	65	C18	GATE_NODE	1	1
71.819605	388.591020	66	C19	GATE_NODE	1	1
73.345983	672.084538	67	C2	GATE_NODE	1	1
-20.968309	640.179923	68	C3	GATE_NODE	1	1
82.502672	632.583896	69	C4	GATE_NODE	1	1
-6.012353	607.667765	70	C5	GATE_NODE	1	1
94.101149	589.133219	71	C6	GATE_NODE	1	1
4.060018	576.371041	72	C7	GATE_NODE	1	1
115.466802	549.632741	73	C8	GATE_NODE	1	1
15.963731	544.162777	74	C9	GATE_NODE	1	1
149.652021	668.439191	75	D1	GATE_NODE	1	1
342.859077	804.265968	76	D10	GATE_NODE	1	1
382.232881	707.338814	77	D11	GATE_NODE	1	1
377.654620	790.593991	78	D12	GATE_NODE	1	1
395.052343	745.320812	79	D13	GATE_NODE	1	1
195.130428	674.517048	80	D2	GATE_NODE	1	1
241.829719	669.352654	81	D3	GATE_NODE	1	1
214.664905	799.096664	82	D4	GATE_NODE	1	1
278.151398	672.392179	83	D5	GATE_NODE	1	1
260.448538	801.224785	84	D6	GATE_NODE	1	1
